"line","word_count","font_size","is_bold","color","title_case","label"
"Searching the Internet for evidence of time travelers","8","22.714","True","#000000","False","heading"
"Robert J Nemiroff 1, 2 and Teresa Wilson 1","8","18.715","True","#000000","True","heading"
"1 Department of Physics, Michigan Technological University, Houghton, MI","9","15.768","False","#000000","True","paragraph"
"49931","1","15.768","False","#000000","True","paragraph"
"Email: nemiroff@mtu.edu","2","15.768","False","#000000","False","paragraph"
"Abstract. Time travel has captured the public imagination for much of the past century,","14","14.507","False","#000000","False","paragraph"
"but little has been done to actually search for time travelers. Here, three implementations","14","14.507","False","#000000","False","paragraph"
"of Internet searches for time travelers are described, all seeking a prescient mention of","14","14.507","False","#000000","False","paragraph"
"information not previously available. The first search covered prescient content placed on","12","14.507","False","#000000","False","paragraph"
"the Internet, highlighted by a comprehensive search for specific terms in tweets on","13","14.507","False","#000000","False","paragraph"
"Twitter. The second search examined prescient inquiries submitted to a search engine,","12","14.507","False","#000000","False","paragraph"
"highlighted by a comprehensive search for specific search terms submitted to a popular","13","14.507","False","#000000","False","paragraph"
"astronomy web site. The third search involved a request for a direct Internet","13","14.507","False","#000000","False","paragraph"
"communication, either by email or tweet, pre-dating to the time of the inquiry. Given","14","14.507","False","#000000","False","paragraph"
"practical verifiability concerns, only time travelers from the future were investigated. No","12","14.507","False","#000000","False","paragraph"
"time travelers were discovered. Although these negative results do not disprove time","12","14.507","False","#000000","False","paragraph"
"travel, given the great","4","14.507","False","#000000","False","paragraph"
"comprehensive to date.","3","14.507","False","#000000","False","paragraph"
"Contents","2","14.716","True","#000000","False","heading"
"reach of the Internet, this search","6","14.507","False","#000000","False","paragraph"
"1. Introduction","3","14.716","True","#000000","True","heading"
"2. Types of Time Travelers","5","14.716","True","#000000","True","heading"
"3. Searching for Prescient Content on the Internet","8","14.716","True","#000000","True","heading"
"4. Searching for Prescient Search Queries","6","14.716","True","#000000","True","heading"
"5. Requests for Time Travelers to Issue a Prescient Internet Communication","11","14.716","True","#000000","True","heading"
