"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"ABSTRACT GUIDELINES:","1","0","0","1","1","2","0","0","1","0","paragraph"
"Abstracts must include sufficient information for reviewers to judge the nature and significance","0","0","0","1","3","13","0","3","5","0","paragraph"
"of the topic, the adequacy of the investigative strategy, the nature of the results, and the","0","0","0","1","0","16","0","0","3","0","paragraph"
"conclusions. The abstract should summarize the substantive results of the work and not merely","0","0","0","1","3","14","0","2","4","0","paragraph"
"list topics to be discussed.","0","0","0","1","0","5","0","1","1","0","paragraph"
"An abstract is an outline/brief summary of your paper and your whole project. It should have an","0","0","0","1","3","17","0","1","4","0","paragraph"
"intro, body and conclusion. It is a well-developed paragraph, should be","0","0","0","1","3","11","0","2","5","0","paragraph"
"exact in wording, and must be understandable to a wide audience. Abstracts should be no more","0","0","0","1","3","16","0","3","3","0","paragraph"
"than 250 words, formatted in Microsoft Word, and single-spaced, using size 12 Times New","0","0","0","1","3","14","0","2","3","2","paragraph"
"Roman font.","0","0","0","1","3","2","0","0","1","0","paragraph"
"Abstracts highlight major points of your research and explain why your work is important; what","0","0","0","1","3","15","0","2","3","0","paragraph"
"your purpose was, how you went about your project, what you learned, and what you","0","0","0","1","0","15","0","2","6","0","paragraph"
"concluded.","0","0","0","1","0","1","0","1","0","0","paragraph"
"If your title includes scientific notation, Greek letters, bold, italics, or other special","0","0","0","1","3","13","0","1","5","0","paragraph"
"characters/symbols, do make sure they appear correctly.","0","0","0","1","0","7","0","2","3","0","paragraph"
"List all additional undergraduate co-authors, whether they are or are not presenting, if","0","0","0","1","3","13","0","2","2","0","paragraph"
"applicable.","0","0","0","1","0","1","0","0","0","0","paragraph"
"List additional faculty mentors, if applicable.","0","0","0","1","3","6","0","1","1","0","paragraph"
"SIX SAMPLE ABSTRACTS (Previous Participants)","1","0","0","1","3","5","0","0","2","0","heading"
"GRADUATE LEVEL","1","0","0","1","1","2","0","0","1","0","heading"
"Researcher: Rita Asgeirsson","0","0","0","0","2","3","0","0","2","0","paragraph"
"Presentation Title: An Analysis of Yukon Delta Salmon Management","0","0","0","0","2","9","0","0","3","0","paragraph"
"Research focus: Fisheries management related to Bering Sea fisheries and Yukon River salmon","0","0","0","0","3","13","0","1","4","0","paragraph"
"populations.","0","0","0","1","0","1","0","0","1","0","paragraph"
"School: Western Washington University","0","0","0","0","2","4","0","0","2","0","paragraph"
"Student Level: Masters","0","0","0","0","2","3","0","0","2","0","paragraph"
"Presentation Type: Oral Presentation","0","0","0","0","2","4","0","0","2","0","paragraph"
"Abstract:","1","0","0","1","2","1","0","0","1","0","heading"
"An Analysis of Yukon Delta Salmon Management","0","0","0","1","2","7","0","0","2","0","paragraph"
"Rita Asgeirsson, Western Washington University","0","0","0","1","2","5","0","0","2","0","paragraph"
"The broad range of Pacific Alaskan salmon has resulted in the creation of a complex and multi-","0","0","0","1","3","17","0","1","3","0","paragraph"
"organizational system of management that includes the state of Alaska, various federal","0","0","0","1","3","12","0","1","4","0","paragraph"
"departments, a Congressionally-mandated fishery council, and a number of commercial and non-","0","0","0","1","3","12","0","1","5","0","paragraph"
"governmental fish organizations. In the Bering Sea salmon are caught by the commercial","0","0","0","1","3","13","0","1","3","0","paragraph"
"groundfish fleet as by-catch. On the Yukon River salmon are commercially and traditionally","0","0","0","1","3","13","0","0","3","0","paragraph"
"harvested for both economic and cultural sustenance by the Yup’ik residents of the Yukon Delta.","0","0","0","1","3","15","0","1","3","0","paragraph"
"Declining salmon populations has driven scientific research which considers the effects of","0","0","0","1","3","12","0","3","3","0","paragraph"
"Bering Sea salmon by-catch.","0","0","0","1","3","4","0","0","2","0","paragraph"
"My research findings indicate that Bering Sea fisheries occur where juvenile salmon mature,","0","0","0","1","3","13","0","2","3","0","paragraph"
"directly impacting Yukon River salmon populations. Further, the research reflects that although","0","0","0","1","3","12","0","2","2","0","paragraph"
"Yukon salmon populations have plummeted, a recent effort was made to open the northern","0","0","0","1","3","14","0","3","3","0","paragraph"
"Bering Sea, which includes the Yukon River coastal shelf, to deep-sea commercial fishing.","0","0","0","1","3","13","0","1","3","0","paragraph"
"By researching the relationship of policy to cultural salmon dependence, it becomes evident that","0","0","0","1","3","14","0","2","4","0","paragraph"
"Alaskan salmon-tribes are excluded from salmon management and decision-making. Legal","0","0","0","1","3","10","0","1","4","0","paragraph"
"research reflects that three basic federal Indian concepts – inherent rights, Indian Country, and","0","0","0","1","3","14","0","1","3","1","paragraph"
"tribal right of occupancy – emerge as potential foundations that may allow Alaskan salmon-","0","0","0","1","3","14","0","3","3","0","paragraph"
"tribes to begin sharing legal responsibility over salmon.","0","0","0","1","0","8","0","2","3","0","paragraph"
"Yukon River salmon are an international and anadromous species that require multi-","0","0","0","1","3","12","0","1","2","0","paragraph"
"organizational management. My research reflects that current management favors the Bering","0","0","0","1","3","11","0","2","4","0","paragraph"
"Sea commercial fishing industry, despite data indicating Bering Sea fisheries impact Yukon","0","0","0","1","3","12","0","1","4","0","paragraph"
"salmon populations and an overall downward trend in Yukon salmon populations.","0","0","0","1","3","11","0","0","3","0","paragraph"
"**********","1","0","0","1","3","1","0","0","0","0","paragraph"
"Researcher: Alexandrea Bowman","0","0","0","0","2","3","0","0","2","0","paragraph"
