"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"ABSTRACT GUIDELINES:","False","True","True","True","paragraph"
"A bstracts must include sufficient information for reviewers to judge the nature and significance","False","False","True","False","paragraph"
"of the topic, the adequacy of the investigative strategy, the nature of the results, and the","False","False","True","False","paragraph"
"conclusions. The abstract should summarize the substantive results of the work and not merely","False","False","True","False","paragraph"
"list topics to be discussed.","False","False","True","False","paragraph"
"A n abstract is an outline/brief summary of your paper and your whole project. It should have an","False","False","True","False","paragraph"
"intro, body and conclusion. It is a well-developed paragraph, should be","False","False","True","False","paragraph"
"exact in wording, and must be understandable to a wide audience. Abstracts should be no more","False","False","True","False","paragraph"
"than 250 words, formatted in Microsoft Word, and single-spaced, using size 12 Times New","False","False","True","False","paragraph"
"Roman font.","False","False","True","False","paragraph"
"A bstracts highlight major points of your research and explain why your work is important; what","False","False","True","False","paragraph"
"your purpose was, how you went about your project, what you learned, and what you","False","False","True","False","paragraph"
"concluded.","False","False","True","False","paragraph"
"I f your title includes scientific notation, Greek letters, bold, italics, or other special","False","False","True","False","paragraph"
"characters/symbols, do make sure they appear correctly.","False","False","True","False","paragraph"
"L ist all additional undergraduate co-authors, whether they are or are not presenting, if","False","False","True","False","paragraph"
"applicable.","False","False","True","False","paragraph"
"L ist additional faculty mentors, if applicable.","False","False","True","False","paragraph"
"S IX SAMPLE ABSTRACTS (Previous Participants)","False","True","True","False","paragraph"
"G RADUATE LEVEL","False","True","True","True","paragraph"
"R esearcher: Rita Asgeirsson","False","False","False","False","paragraph"
"P resentation Title: An Analysis of Yukon Delta Salmon Management","False","False","False","False","paragraph"
"Research focus: Fisheries management related to Bering Sea fisheries and Yukon River salmon","False","False","False","False","paragraph"
"populations.","False","False","True","False","paragraph"
"School: Western Washington University","False","False","False","True","paragraph"
"Student Level: Masters","False","False","False","True","paragraph"
"Presentation Type: Oral Presentation","False","False","False","True","paragraph"
"A bstract:","False","True","True","False","paragraph"
"A n Analysis of Yukon Delta Salmon Management","False","False","True","True","paragraph"
"Rita Asgeirsson, Western Washington University","False","False","True","True","paragraph"
"T he broad range of Pacific Alaskan salmon has resulted in the creation of a complex and multi-","False","False","True","False","paragraph"
"organizational system of management that includes the state of Alaska, various federal","False","False","True","False","paragraph"
"departments, a Congressionally-mandated fishery council, and a number of commercial and non-","False","False","True","False","paragraph"
"governmental fish organizations. In the Bering Sea salmon are caught by the commercial","False","False","True","False","paragraph"
"groundfish fleet as by-catch. On the Yukon River salmon are commercially and traditionally","False","False","True","False","paragraph"
"harvested for both economic and cultural sustenance by the Yup’ik residents of the Yukon Delta.","False","False","True","False","paragraph"
"Declining salmon populations has driven scientific research which considers the effects of","False","False","True","False","paragraph"
"Bering Sea salmon by-catch.","False","False","True","False","paragraph"
