"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Searching the Internet for evidence of time travelers","1","1","0","1","3","8","0","1","3","0","heading"
"Robert J Nemiroff 1, 2 and Teresa Wilson1","1","1","0","0","2","8","0","0","2","0","paragraph"
"1","0","0","0","1","2","1","1","0","0","1","paragraph"
"Department of Physics, Michigan Technological University, Houghton, MI","0","1","0","1","2","8","0","0","3","0","paragraph"
"49931","0","1","0","1","2","1","1","0","0","1","paragraph"
"Email: nemiroff@mtu.edu","0","1","0","0","3","2","0","0","1","0","paragraph"
"Abstract. Time travel has captured the public imagination for much of the past century,","0","0","0","0","3","14","0","1","3","0","paragraph"
"but little has been done to actually search for time travelers. Here, three implementations","0","0","0","1","3","14","0","2","2","1","paragraph"
"of Internet searches for time travelers are described, all seeking a prescient mention of","0","0","0","1","3","14","0","2","4","0","paragraph"
"information not previously available. The first search covered prescient content placed on","0","0","0","1","3","12","0","2","2","0","paragraph"
"the Internet, highlighted by a comprehensive search for specific terms in tweets on","0","0","0","1","3","13","0","1","4","0","paragraph"
"Twitter. The second search examined prescient inquiries submitted to a search engine,","0","0","0","1","3","12","0","2","4","0","paragraph"
"highlighted by a comprehensive search for specific search terms submitted to a popular","0","0","0","1","0","13","0","2","2","0","paragraph"
"astronomy web site. The third search involved a request for a direct Internet","0","0","0","1","3","13","0","1","4","0","paragraph"
"communication, either by email or tweet, pre-dating to the time of the inquiry. Given","0","0","0","1","3","14","0","4","5","0","paragraph"
"practical verifiability concerns, only time travelers from the future were investigated. No","0","0","0","1","3","12","0","1","3","0","paragraph"
"time travelers were discovered. Although these negative results do not disprove time","0","0","0","1","3","12","0","2","3","0","paragraph"
"travel, given the great reach of","0","0","0","1","0","6","0","1","2","0","paragraph"
"comprehensive to date.","0","0","0","1","0","3","0","0","1","0","paragraph"
"Contents","1","0","0","1","2","1","0","0","1","0","heading"
"1. Introduction","1","0","0","1","2","2","0","0","1","1","heading"
"2. Types of Time Travelers","1","0","0","1","2","5","0","0","2","1","heading"
"3. Searching for Prescient Content on the Internet","1","0","0","1","2","8","0","1","2","1","heading"
"4. Searching for Prescient Search Queries","1","0","0","1","2","6","0","1","1","1","heading"
"the Internet, this search","0","0","0","1","3","4","0","0","2","0","paragraph"
"5. Requests for Time Travelers to Issue a Prescient Internet Communication","1","0","0","1","2","11","0","1","3","1","heading"
"6. Summary and Conclusions","1","0","0","1","2","4","0","0","2","1","heading"
"Acknowledgments","1","0","0","1","2","1","0","0","1","0","heading"
"References","1","0","0","1","2","1","0","0","1","0","heading"
"1. Introduction","1","0","0","1","2","2","0","0","1","1","heading"
"is perhaps the most","0","0","0","1","0","4","0","0","0","0","paragraph"
"The origin of the idea of time travel is unknown [1]. Mentions in the distant past include the Indian","0","0","0","1","3","19","0","1","6","0","paragraph"
"Mahabharata [2], which may date as far back as the 9th century BC, the Hebrew Talmud [3], written","0","0","0","1","3","18","0","3","3","1","paragraph"
"about 300 AD, and the Japanese Nihongi [4], which dates back to about 700 AD. A classic contemporary","0","0","0","1","3","18","0","1","4","2","paragraph"
"story of time travel is H. G. Wells' 1895 work ""The Time Machine"" [5]. All of these, however,","0","0","0","1","3","18","0","1","3","1","paragraph"
"predominantly describe time travel to the future. One of the oldest stories known of time travel to the past","0","0","0","1","3","19","0","2","5","1","paragraph"
"dates only back to 1733 with Samuel Madden's ""Memoirs of the Twentieth Century"" [6]. Modern fictional","0","0","0","1","3","16","0","1","2","0","paragraph"
"stories involving time travel both to the future and the past are, however, ubiquitous. Two prominent","0","0","0","1","3","16","0","1","4","1","paragraph"
"2","0","0","0","1","2","1","1","0","0","1","paragraph"
"Author to whom any correspondence should be addressed.","0","0","0","1","3","8","0","2","3","0","paragraph"
"examples include the Doctor Who television series [7] which originated in 1963, and the Back to the","0","0","0","1","3","17","0","2","4","1","paragraph"
"Future film series [8] which began in 1985.","0","0","0","1","3","8","0","1","1","1","paragraph"
"Time travel to the future stands on firm scientific footing. Special Relativity [9] has clear sub-luminal","0","0","0","1","3","16","0","1","3","1","paragraph"
"solutions that correspond with time travel to the future. A famous theoretical example is the twin paradox","0","0","0","1","3","17","0","1","5","0","paragraph"
"[10]. Such future time travel has been experimentally verified, for example, using a pair of clocks one of","0","0","0","1","3","18","0","2","4","1","paragraph"
"which was taken on an airplane. The flying clock recorded a relative time delay of order 10-7 seconds, in","0","0","0","1","3","19","0","3","4","0","paragraph"
"comparison to the more stationary clock [11].","0","0","0","1","0","7","0","0","2","1","paragraph"
"Time travel to the past is controversial, at best, and impossible according to conventional views of the","0","0","0","1","3","17","0","1","3","0","paragraph"
"laws of physics. Formally, Special Relativity allows time travel to the past only for objects moving faster","0","0","0","1","3","17","0","2","6","0","paragraph"
"than the speed of light [12]. In both Special and General Relativity, the possibility that objects could","0","0","0","1","3","17","0","2","4","0","paragraph"
"travel on closed timelike loops would indicate the possibility of time travel to the past. Solutions","0","0","0","1","3","16","0","3","5","0","paragraph"
"involving closed timelike loops have been found in General Relativity with popular cases including","0","0","0","1","3","14","0","3","3","0","paragraph"
"Gödel's universe [13], traveling between black holes and wormholes [14], and circling cosmic strings","0","0","0","1","3","14","0","2","3","2","paragraph"
"[15]. Many physicists consider such solutions unphysical, as articulated, for example, by the Chronology","0","0","0","1","3","14","0","2","4","1","paragraph"
"Protection Conjecture [16].","0","0","0","1","2","3","0","0","1","1","paragraph"
"Although less well known than popular fiction, experiments designed to discover human time travelers","0","0","0","1","3","14","0","2","2","0","paragraph"
"have been conducted. In May of 2005, then graduate student A. Dorai at MIT publicised and held a","0","0","0","1","3","18","0","3","3","0","paragraph"
"convention for time travelers [17]. No one claiming to come from the future showed up [17]. S. Hawking","0","0","0","1","3","18","0","3","5","1","paragraph"
"did a similar experiment in July of 2012, holding a personal party for time travelers, but sending out the","0","0","0","1","3","19","0","2","4","0","paragraph"
"invitations only after the party [18]. No one claiming to be a time traveler showed up [18].","0","0","0","1","3","17","0","2","5","3","paragraph"
"In this work, we report on a series of searches for digital signatures that time travelers potentially left","0","0","0","1","3","18","0","2","6","0","paragraph"
"on the Internet. Specifically, we search for content that should not have been known at the time it was","0","0","0","1","3","19","0","3","5","0","paragraph"
"posted. Such information is here referred to as ""prescient"". To the best of our knowledge, no similar","0","0","0","1","3","17","0","2","3","0","paragraph"
"search has ever been published previously. Section 2 of this work outlines possible types of time","0","0","0","1","3","16","0","2","5","0","paragraph"
"travelers. Section 3 describes one search for prescient content placed on the Internet, highlighted by a","0","0","0","1","3","16","0","3","5","0","paragraph"
"search of tweets on Twitter. Section 4 describes a search for prescient terms submitted in Internet search","0","0","0","1","3","17","0","2","7","0","paragraph"
"engines, highlighted by a search for two specific terms in the online search engine for the Astronomy","0","0","0","1","3","17","0","1","5","1","paragraph"
"Picture of the Day web site. Section 5 describes an experiment involving the request for a prescient timed","0","0","0","1","3","18","0","3","5","0","paragraph"
"communication to be sent either as a tweet or an email. Section 6 summarizes the results and draws some","0","0","0","1","3","19","0","3","5","0","paragraph"
"conclusions concerning the nature of the results.","0","0","0","1","0","7","0","1","3","0","paragraph"
"2. Types of Time Travelers","1","0","0","1","2","5","0","0","2","1","heading"
"Time travelers can be classified as either from the past or from the future. Further subdivisions might","0","0","0","1","3","17","0","3","4","0","paragraph"
"distinguish between time travelers who want to advertise their presence, hide their presence, and those","0","0","0","1","0","15","0","4","4","0","paragraph"
"who are indifferent. We do not consider such distinctions as determinative for search methods employed","0","0","0","1","3","15","0","2","4","0","paragraph"
"here, however, as even time travelers who want to advertise their presence may do so ineffectively, those","0","0","0","1","0","17","0","3","3","0","paragraph"
"who want to hide their presence might make a revealing mistake, and those indifferent might or might not","0","0","0","1","0","18","0","6","3","0","paragraph"
"leave traceable Internet content.","0","0","0","1","3","4","0","1","1","0","paragraph"
"We did not search the Internet for evidence of time travelers from the past. First, we were unable to","0","0","0","1","3","19","0","1","6","0","paragraph"
"conceive of a simple method that would clearly indicate that informational traces they might have left","0","0","0","1","0","16","0","4","2","0","paragraph"
"were evidence of time travel from the past and not just simple knowledge of the past. Next, to the best of","0","0","0","1","3","21","0","0","5","0","paragraph"
"our knowledge, human technology to create a time machine does not exist in the past, so that time","0","0","0","1","0","18","0","2","4","0","paragraph"
"travelers from the past must originate in the future, assuming such technology is ever developed.","0","0","0","1","0","15","0","4","4","0","paragraph"
"3. Searching for Prescient Content on the Internet","1","0","0","1","2","8","0","1","2","1","heading"
"Were a time traveler from the future to access the Internet of the past few years, they might have left","0","0","0","1","3","20","0","3","5","0","paragraph"
"once-prescient content that persists today. Alternatively, such information might have been placed on","0","0","0","1","3","13","0","3","2","0","paragraph"
"Internet by a third party discussing something unusual they have heard. Such content might have been","0","0","0","1","3","16","0","3","5","0","paragraph"
"catalogued by search engines such as Google (google.com) or Bing (bing.com), or remain in posts left on","0","0","0","1","3","17","0","3","4","0","paragraph"
"Facebook (facebook.com), Google Plus (plus.google.com), or Twitter (twitter.com).","0","0","0","1","3","8","0","0","5","0","paragraph"
"To make our search for such content manageable, a small number of search terms were sought that","0","0","0","1","3","17","0","2","3","0","paragraph"
"could conceivably give a relatively clear signal of prescient information in an automated query of a large","0","0","0","1","0","17","0","3","3","0","paragraph"
"database. The time period of our search was from 2006 January to 2013 September. Search terms were","0","0","0","1","3","17","0","0","6","0","paragraph"
"chosen to optimize three major attributes. First, search terms were sought that described an item or event","0","0","0","1","3","17","0","4","4","1","paragraph"
"that acquired a name during the time period of our search. Such terms would allow two different epochs","0","0","0","1","3","18","0","3","5","1","paragraph"
"to be compared -- potentially prescient content before this information became available, and normal","0","0","0","1","0","14","0","2","1","0","paragraph"
"content afterwards. For example, mentions of the ""War of the Roses"" occurred numerous times, but none","0","0","0","1","3","16","0","1","6","0","paragraph"
"that could easily be tagged in an automated search as even potentially prescient, since the actual Wars of","0","0","0","1","3","18","0","3","2","0","paragraph"
"the Roses ended in 1485, and the name ""Wars of the Roses"" only came into common usage in the 1800s,","0","0","0","1","3","20","0","2","6","0","paragraph"
"well before our automated searches began [19]. Therefore all discussions in our search period could be","0","0","0","1","3","16","0","3","3","0","paragraph"
"attributed to normal discussions of historic events.","0","0","0","1","0","7","0","1","2","0","paragraph"
"Second, search terms should involve as unique a label as possible. Were a large automated search","0","0","0","1","3","16","0","2","3","0","paragraph"
"focused on a common term, it would be difficult to automatically differentiate a prescient mention of this","0","0","0","1","0","17","0","3","3","0","paragraph"
"term from likely much more numerous common mentions. For example ""Comet McNaught"" was not","0","0","0","1","3","14","0","0","4","0","paragraph"
"considered to be a good search term because its discoverer, Robert H. McNaught, has discovered over 50","0","0","0","1","3","17","0","2","3","0","paragraph"
"comets dating as far back as 1987. Therefore, an automated search returning mentions of ""Comet","0","0","0","1","3","15","0","3","4","0","paragraph"
"McNaught"" in 2006, for example, could arguably not be returning prescient mentions of the impressively","0","0","0","1","3","15","0","2","3","0","paragraph"
"bright Comet McNaught in 2009, but rather mentions of one of the earlier-discovered comets that bears","0","0","0","1","3","16","0","2","3","1","paragraph"
"the same popular name.","0","0","0","1","0","4","0","0","1","0","paragraph"
"Third and last, search terms should remain well known and historically important into the future.","0","0","0","1","3","15","0","2","2","0","paragraph"
"Perennially famous objects or events might be more likely to be on the agendas of future time travelers,","0","0","0","1","3","18","0","1","4","0","paragraph"
"and so may permeate their Internet interactions. Not being time travelers ourselves, we cannot know for","0","0","0","1","3","16","0","4","4","0","paragraph"
"sure what present-day labels will remain popular into the future, but focusing on modern renditions of","0","0","0","1","0","16","0","3","3","0","paragraph"
"terms used by historically long-standing and internationally known institutions seemed pragmatic. Based","0","0","0","1","3","12","0","5","2","0","paragraph"
"on these criteria, two main labels were chosen: Comet ISON and Pope Francis.","0","0","0","1","3","13","0","1","4","1","paragraph"
"Comet ISON (C/2012 S1) is a comet that was discovered by the International Scientific Optical","0","0","0","1","3","15","0","1","4","0","paragraph"
"Network (ISON) on 2012 September 21. Therefore, the term ""Comet ISON"" came into the public lexicon","0","0","0","1","3","16","0","1","5","0","paragraph"
"during our search window. Although the ISON network had discovered one previous comet, that comet","0","0","0","1","3","15","0","1","4","1","paragraph"
"did not go by the popular name of Comet ISON. Therefore, the term ""Comet ISON"" is a unique label that","0","0","0","1","3","20","0","1","5","0","paragraph"
"should not be easily confused with something else. Comet ISON is internationally known and has been a","0","0","0","1","3","17","0","3","2","0","paragraph"
"topic of popular discussion on the Internet since its discovery. Histories of bright comets like Comet","0","0","0","1","3","16","0","0","7","0","paragraph"
"ISON are generally well kept by societies and journals around the world, indicating that Comet ISON","0","0","0","1","3","16","0","2","4","0","paragraph"
"might remain memorable well into the future. Conversely, there is little reason for anyone without","0","0","0","1","3","15","0","2","3","0","paragraph"
"prescient information to be referring to something as ""Comet ISON"" before 2012 September. Therefore,","0","0","0","1","3","14","0","1","4","0","paragraph"
"discussions or even mentions of ""Comet ISON"" before 2012 September were searched for as potentially","0","0","0","1","3","15","0","1","4","0","paragraph"
"prescient evidence of time travelers from the future.","0","0","0","1","0","8","0","0","3","0","paragraph"
"On 2013 March 16, the newly elected pope of the Catholic Church, Jorge Mario Bergoglio, chose the","0","0","0","1","3","17","0","2","4","0","paragraph"
