"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Spotify for Podcasters Platform Terms and Conditions of Use","1","0","0","1","2","9","0","1","3","0","heading"
"Effective: March 26 2019","0","0","0","1","2","4","0","0","0","0","paragraph"
"Hello, and welcome to the Spotify for Podcasters Platform Terms and Conditions of Use (“ Spotify for","0","0","0","0","3","17","0","1","4","0","paragraph"
"Podcasters Terms ”).","0","0","0","0","2","3","0","0","1","0","paragraph"
"Before we get to the details, we’d like to share a few of the principles behind Spotify for Podcasters and","0","0","0","1","3","20","0","4","6","0","paragraph"
"the terms you’re about to read. These principles guide us whenever we design products and features for","0","0","0","1","3","17","0","4","7","0","paragraph"
"creators. They mean a lot to us because we know they mean a lot to you.","0","0","0","1","3","16","0","3","8","0","paragraph"
"We respect what you do . You should have access to tools and information that help grow your","0","0","0","0","3","18","0","4","7","0","paragraph"
"career.","0","0","0","1","0","1","0","0","1","0","paragraph"
"We love what you make . We want fans all over the world to love it too.","0","0","0","0","3","17","0","4","7","0","paragraph"
"We’re here to help you . Building a strong community is the best way to support you.","0","0","0","0","3","17","0","4","5","0","paragraph"
"The Spotify for Podcasters Terms you see below are important because they:","0","0","0","1","3","12","0","1","3","0","paragraph"
"Outline your legal rights on Spotify for Podcasters","0","0","0","1","3","8","0","1","3","0","paragraph"
"Explain the rights you give to us when you use Spotify for Podcasters","0","0","0","1","3","13","0","3","6","0","paragraph"
"Describe the rules to follow when using Spotify for Podcasters","0","0","0","1","3","10","0","3","3","0","paragraph"
"Please read these Spotify for Podcasters Terms, our Spotify Terms and Conditions of Use, our Privacy","0","0","0","1","3","16","0","1","6","0","paragraph"
"Policy and any other terms referenced in these Spotify for Podcasters Terms carefully.","0","0","0","1","3","13","0","1","4","0","paragraph"
"1. Introduction","1","0","0","1","2","2","0","0","1","1","heading"
"Thanks for choosing Spotify’s Spotify for Podcasters platform (“ Spotify for Podcasters ”) offered by","0","0","0","0","3","15","0","4","3","0","paragraph"
"Spotify USA Inc. with offices at 4 World Trade Center, 150 Greenwich Street, 62nd Floor, New York, NY","0","0","0","1","3","18","0","0","5","1","paragraph"
"10007, USA and Spotify AB, a company registered in Sweden under number 556703-7485 with offices at","0","0","0","1","3","16","0","1","6","1","paragraph"
"Regeringsgatan 19, 111 53 Stockholm, Sweden (respectively “ Spotify USA ” and "" Spotify AB ” and","0","0","0","0","3","17","0","0","4","2","paragraph"
"together “ Spotify ” “ we ” “ us ” or “ our ”). Spotify for Podcasters is a platform and service we offer that","0","0","0","0","3","25","0","3","6","0","paragraph"
"gives you the ability","0","0","0","1","0","4","0","1","2","0","paragraph"
"audience.","0","0","0","1","0","1","0","0","1","0","paragraph"
"to submit your podcast content directly to Spotify and understand your podcast","0","0","0","1","3","12","0","3","2","0","paragraph"
"Click-Wrap Agreement . These Spotify for Podcasters Terms are executed and agreed to, and you are","0","0","0","1","3","16","0","2","4","0","paragraph"
"entering into a binding contract with Spotify, when you click the checkbox stating that you agree to the","0","0","0","1","3","18","0","5","5","0","paragraph"
"Spotify for Podcasters Terms and Conditions (and to such standard amendments thereto as Spotify may","0","0","0","1","3","15","0","2","4","0","paragraph"
"publish from time to time) and click the “Continue” button during the registration process for the Spotify for","0","0","0","1","3","18","0","3","5","0","paragraph"
"Podcasters service (the “ Spotify for Podcasters Service ” or “ Service ”) when you submit Authorized","0","0","0","0","3","17","0","3","2","0","paragraph"
"User Content (defined below in Section 5) to, or when you otherwise use the Spotify for P odcasters","0","0","0","1","3","18","0","2","5","0","paragraph"
"Service, or access any content or material that is made available by Spotify through the Service (the","0","0","0","1","3","17","0","2","5","0","paragraph"
"“Content ”). The Spotify for Podcasters Service is provided to you free-of-charge in exchange for your use","0","0","0","1","3","17","0","1","7","0","paragraph"
"of the Service and the provision of your Authorized User Content (defined below in Section 5) to the","0","0","0","1","3","18","0","2","4","0","paragraph"
"Service and that others (e.g.,","0","0","0","1","3","5","0","0","2","0","paragraph"
"Podcasters tools and services.","0","0","0","1","3","4","0","0","2","0","paragraph"
"podcast hosting services) may be given access to certain Spotify for","0","0","0","1","3","11","0","2","3","0","paragraph"
"1","0","0","0","1","2","1","1","0","0","1","paragraph"
"Relevant Agreements . As noted above, in addition to these Spotify for Podcasters Terms, your use of the","0","0","0","1","3","18","0","1","4","0","paragraph"
"Service is also subject to Spotify’s Terms and Conditions of Use available here (the “ Spotify Terms and","0","0","0","0","3","18","0","0","6","0","paragraph"
"Conditions ”) and Spotify’s Privacy Policy available here (“ Privacy Policy ”), and any additional terms that","0","0","0","0","3","17","0","0","5","0","paragraph"
"you agree to, as discussed in the Entire Agreement section in Section 17 below, which shall all be","0","0","0","1","3","18","0","3","3","0","paragraph"
"referred together as the “ Agreements .” Please read the Agreements carefully. They cover important","0","0","0","0","3","15","0","3","3","0","paragraph"
"information about the Spotify for Podcasters Service provided to you and the effective version of the","0","0","0","1","3","16","0","1","5","0","paragraph"
"Agreements can be found on Spotify’s website. You acknowledge that you have read and understood the","0","0","0","1","3","16","0","5","4","0","paragraph"
"Agreements, have had the opportunity to review the Agreements with legal counsel even if you have","0","0","0","1","3","16","0","2","5","0","paragraph"
"chosen not to do so, accept these Agreements, and agree to be bound by them. In the event of any","0","0","0","1","3","20","0","4","3","0","paragraph"
"conflict between a provision in the Spotify Terms and Conditions and the Spotify for Podcasters Terms,","0","0","0","1","3","16","0","0","6","0","paragraph"
"the provisions of these Spotify for Podcasters Terms will govern. If you don’t agree with (or cannot comply","0","0","0","1","3","18","0","5","4","0","paragraph"
"with) the Agreements, then you may not use the Spotify for Podcasters Service. By using the Service, you","0","0","0","1","3","18","0","3","6","0","paragraph"
"further consent to receiving communications from us as described in the Privacy Policy available here .","0","0","0","0","3","16","0","2","4","0","paragraph"
"You also agree that any notices, agreements, disclosures, or other communications that we send to you","0","0","0","1","3","16","0","2","3","0","paragraph"
