"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Parsr: Turn your documents into data!","True","True","True","False","heading"
"P arsr allows a data scientist, an analyst, a developer, or an enthusiast to automatically obtain","False","False","False","False","paragraph"
"structured data from a compiled PDF or an image or scanned document. It is a minimal-footprint","False","False","True","False","paragraph"
"document cleaning, parsing and extraction toolchain which generates readily available, organized","False","False","True","False","paragraph"
"and usable data for data scientists and developers.","False","False","True","False","paragraph"
"C urrently, Parsr has (but is not limited to) the following features:","False","False","True","False","paragraph"
"Text Order Detection","False","False","True","True","paragraph"
"Page Number Detection","False","False","True","True","paragraph"
"Header-Footer Detection","False","False","True","True","paragraph"
"Table Detection and Reconstruction","False","False","True","True","paragraph"
"Named Entity Recognition (Dates, Percentages, etc)","False","False","True","False","paragraph"
"Key-Value Pair Detection (for the extraction of specific form-based entries)","False","False","True","False","paragraph"
"Link Detection","False","False","True","True","paragraph"
"Heading Detection","False","False","True","True","paragraph"
"Document Hierarchy Regeneration (Words, Lines and Paragraphs)","False","False","True","False","paragraph"
"Whitespace Removal, etc","False","False","True","True","paragraph"
"F urthermore, the pipeline is extensible and one’s own module can be easily introduced.","False","False","True","False","paragraph"
"Parsr’s pipeline’s backbone is based on Typescript, but it can easily be extended using modules","False","False","True","False","paragraph"
"plugging into tools built from flavors like Python or Haskell.","False","False","True","False","paragraph"
"P arsr supports a choice among multiple extraction engines for each type of input. Parsr extracts","False","False","True","False","paragraph"
"textual data from PDF files using pdftojson and from images using OCR adapters such as tesseract.","False","False","True","False","paragraph"
"The user even has the choice to use the proprietary ABBYY FineReader solution for using a","False","False","True","False","paragraph"
"professional grade OCR as the backend for enhanced text recognition precision.","False","False","True","False","paragraph"
"P arsr provides users with clean, structured and label-enriched information set. The output","False","False","True","False","paragraph"
"(formatted as a friendly, documented JSON file) can possibly contain data with fine granularity","False","False","True","False","paragraph"
"(bounding boxes for each letter of each word), to relatively low frequency details like the sizes and","False","False","True","False","paragraph"
"margins of each page.","False","False","True","False","paragraph"
"The user can also generate outputs in the formats of Markdown, Raw Text, PDF, CSV (for tabular","False","False","True","False","paragraph"
"data), and others. New output formats can also be easily generated using an extensible output","False","False","True","False","paragraph"
"module system for easy extensibility.","False","False","True","False","paragraph"
"T he Parsr toolchain’s open-source dependency set is minimal: node.js, qpdf, mupdf-tools,","False","False","False","False","paragraph"
"imagemagick, tesseract, pdf2json, pandoc and camelot. An optional proprietary dependency ABBYY","False","False","True","False","paragraph"
"FineReader is equally supported.","False","False","True","False","paragraph"
"T he ready-to-use applications range from data entry and document analysis automation, archival,","False","False","True","False","paragraph"
"and many others.","False","False","True","False","paragraph"
"Furthermore, it is free and open source!","False","False","True","False","paragraph"
"Parsr was built by the community using community-made tools for the community itself. Delve right","False","False","True","False","paragraph"
"in; check it out and help improve this version 0.1 making Parsr the standard for data extraction from","False","False","True","False","paragraph"
"documents!","False","False","True","False","paragraph"
"Internal","False","False","True","True","paragraph"
