"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"U.S. Department of Justice","False","False","False","True","paragraph"
"Federal Bureau of Investigation","False","False","False","True","paragraph"
"Washington, D.C. 20535-0001","False","False","False","True","paragraph"
"The Honorable Charles E. Schumer","True","False","False","True","paragraph"
"United States Senate","False","False","False","True","paragraph"
"Washington, D.C. 20510","False","False","False","True","paragraph"
"Dear Senator Schumer:","False","False","True","True","paragraph"
"On behalf of the Federal Bureau","False","False","False","False","paragraph"
"November","False","False","True","True","paragraph"
"of Investigation (FB),","False","False","False","False","paragraph"
"25, 2019","True","False","False","True","paragraph"
"this responds to your letter, dated","False","False","False","False","paragraph"
"July 17, 2019, to the","True","False","False","True","paragraph"
"software application","True","False","False","False","paragraph"
"FBI and the Federal","False","False","False","True","paragraph"
"FaceApp.","True","False","True","True","paragraph"
"The language of FaceApp’s terms","False","False","False","False","paragraph"
"Trade Commission (FTC) regarding the mobile","False","False","False","False","paragraph"
"of service and end user","False","False","False","False","paragraph"
"license agreement describes the","False","False","False","False","paragraph"
"mechanisms FaceApp uses","False","False","False","False","paragraph"
"for","False","False","True","True","paragraph"
"information, device identifiers,","True","False","False","False","paragraph"
"access to a","False","False","False","False","paragraph"
"device’s analytics information,","True","False","False","False","paragraph"
"and metadata, and to any user content and","True","False","False","False","paragraph"
"cookies, log file","True","False","False","False","paragraph"
"communications made","True","False","False","False","paragraph"
"directly between the user","True","False","False","False","paragraph"
"and","False","False","True","True","paragraph"
"to obtain consent from users.","False","False","False","False","paragraph"
"FaceApp. Social media providers generally use","False","False","False","False","paragraph"
"such mechanisms","False","False","False","False","paragraph"
"Specific to FaceApp, however, is the submission of a","False","False","False","False","paragraph"
"user’s photo","False","False","False","False","paragraph"
"for manipulation, which FaceApp","False","False","False","False","paragraph"
"United States, Singapore, Ireland,","True","False","False","True","paragraph"
"uploads to cloud servers","True","False","False","False","paragraph"
"and Australia. FaceApp","False","False","False","True","paragraph"
"most photos from its","False","False","False","False","paragraph"
"48 hours after submission. servers","False","False","False","False","paragraph"
"hosted (according to FaceApp) in the","False","False","False","False","paragraph"
"has publicly claimed that it removes","False","False","False","False","paragraph"
"The FBI considers","False","False","False","False","paragraph"
"FaceApp, to be potential a","True","False","False","False","paragraph"
"any mobile application or","False","False","False","False","paragraph"
"similar product developed in Russia, such as","False","False","False","False","paragraph"
"counterintelligence threat, based on","True","False","False","False","paragraph"
"the data the product collects, its","False","False","False","False","paragraph"
"privacy and terms of use","True","False","False","False","paragraph"
"policies, and the legal mechanisms available to the Government of","False","False","False","False","paragraph"
"Russia that permit access","False","False","False","False","paragraph"
"robust cyber exploitation","True","False","False","False","paragraph"
"to data within Russia’s borders.","False","False","False","False","paragraph"
"capabilities as","True","False","False","False","paragraph"
"evidenced by, for","False","False","False","False","paragraph"
"Russia’s intelligence services maintain","False","False","False","False","paragraph"
"example, Russia’s surveillance system,","False","False","False","False","paragraph"
"the System of Operative Search Measures, which allows the Russian Federal Security Service","True","False","False","False","paragraph"
"(FSB) to obtain telephonic and online communications","False","False","False","False","paragraph"
"providers (ISP). In other words, the FSB remotely can","True","False","False","False","paragraph"
"Russian networks without making a request to ISPs.","False","False","False","False","paragraph"
"via direct connection to internet service","False","False","False","False","paragraph"
"access","False","False","True","False","paragraph"
"all communications and servers on","False","False","False","False","paragraph"
"If the FBI assesses","True","False","False","False","paragraph"
"that elected","True","False","False","False","paragraph"
"parties are targets of foreign influence","True","False","False","False","paragraph"
"officials, candidates,","True","False","True","False","paragraph"
"operations involving","True","False","True","False","paragraph"
"notifications, investigate, and engage the Foreign Influence","True","False","False","False","paragraph"
"political campaigns, or","True","False","False","False","paragraph"
"political","True","False","True","False","paragraph"
"FaceApp, the FBI would coordinate","False","False","False","False","paragraph"
"Task Force, as","True","False","False","True","paragraph"
"appropriate. The","True","False","False","False","paragraph"
"FBI’s Protected Voices webpage on","False","False","False","False","paragraph"
"urgent cybersecurity issues that may","True","False","False","False","paragraph"
"to attack.","False","False","False","False","paragraph"
"FBI.gov provides publically accessible videos on","True","False","False","False","paragraph"
"the most","False","False","False","True","paragraph"
"leave election campaign’s an","False","False","False","False","paragraph"
"computer networks vulnerable","True","False","False","False","paragraph"
"The Honorable Charles E. Schumer","False","False","False","True","paragraph"
"Page Two","True","False","False","True","paragraph"
"Thank you for your continued support of the FBI, its mission, and its people.","False","False","False","False","paragraph"
"Sincerely,","True","False","True","True","paragraph"
"feo","True","False","True","True","paragraph"
"Jill C. Tyson","False","False","False","True","paragraph"
"Assistant Director","False","False","True","True","paragraph"
"Office of Congressional Affairs","False","False","False","True","paragraph"
"Cc: | The Honorable Joseph Simons, Chairman","False","False","False","True","paragraph"
"Federal Trade Commission","False","False","True","True","paragraph"
