"line","word_count","font_size","is_bold","color","title_case","label"
"PDF 32000-1:2008","2","13.066","True","#000000","True","paragraph"
"7 Syntax","2","16.632","True","#000000","True","heading"
"7.1 General","2","15.218","True","#000000","True","heading"
"This clause covers everything about the syntax of PDF at the object, file, and document level. It sets the stage","20","13.257","False","#000000","False","paragraph"
"for subsequent clauses, which describe how the contents of a PDF file are interpreted as page descriptions,","17","13.257","False","#000000","False","paragraph"
"interactive navigational aids, and application-level logical structure.","7","13.257","False","#000000","False","paragraph"
"PDF syntax is best understood by considering it as four parts, as shown in Figure 1:","16","13.257","False","#000000","False","paragraph"
"Objects. A PDF document is a data structure composed from a small set of basic types of data objects.","19","13.257","False","#000000","False","paragraph"
"Sub-clause 7.2, ""Lexical Conventions,"" describes the character set used to write objects and other","14","13.257","False","#000000","False","paragraph"
"syntactic elements. Sub-clause 7.3, ""Objects,"" describes the syntax and essential properties of the objects.","14","13.257","False","#000000","False","paragraph"
"Sub-clause 7.3.8, ""Stream Objects,"" provides complete details of the most complex data type, the stream","15","13.257","False","#000000","False","paragraph"
"object.","1","13.257","False","#000000","False","paragraph"
"File structure. The PDF file structure determines how objects are stored in a PDF file, how they are","18","13.257","False","#000000","False","paragraph"
"accessed, and how they are updated. This structure is independent of the semantics of the objects. Sub-","17","13.257","False","#000000","False","paragraph"
"clause 7.5, ""File Structure,"" describes the file structure. Sub-clause 7.6, ""Encryption,"" describes a file-level","14","13.257","False","#000000","False","paragraph"
"mechanism for protecting a document’s contents from unauthorized access.","9","13.257","False","#000000","False","paragraph"
"Document structure. The PDF document structure specifies how the basic object types are used to","15","13.257","False","#000000","False","paragraph"
"represent components of a PDF document: pages, fonts, annotations, and so forth. Sub-clause 7.7,","14","13.257","False","#000000","False","paragraph"
"""Document Structure,"" describes the overall document structure; later clauses address the detailed","12","13.257","False","#000000","False","paragraph"
"semantics of the components.","4","13.257","False","#000000","False","paragraph"
"Content streams. A PDF content stream contains a sequence of instructions describing the appearance of","15","13.257","False","#000000","False","paragraph"
"a page or other graphical entity. These instructions, while also represented as objects, are conceptually","15","13.257","False","#000000","False","paragraph"
"distinct from the objects that represent the document structure and are described separately. Sub-clause","14","13.257","False","#000000","False","paragraph"
"7.8, ""Content Streams and Resources,"" discusses PDF content streams and their associated resources.","13","13.257","False","#000000","False","paragraph"
"Figure 1 – PDF Components","5","13.805","True","#000000","True","heading"
"In addition, this clause describes some data structures, built from basic objects, that are so widely used that","18","13.257","False","#000000","False","paragraph"
"they can almost be considered basic object types in their own right. These objects are covered in: 7.9,","18","13.257","False","#000000","False","paragraph"
"""Common Data Structures""; 7.10, ""Functions""; and 7.11, ""File Specifications.""","9","13.257","False","#000000","False","paragraph"
"NOTE Variants of PDF’s object and file syntax are also used as the basis for other file formats. These include the","21","11.979","False","#000000","False","paragraph"
"Forms Data Format (FDF), described in 12.7.7, ""Forms Data Format"", and the Portable Job Ticket Format","16","11.979","False","#000000","False","paragraph"
"(PJTF), described in Adobe Technical Note #5620, Portable Job Ticket Format.","11","11.979","False","#000000","False","paragraph"
"7.2 Lexical Conventions","3","15.218","True","#000000","True","heading"
"7.2.1 General","2","13.805","True","#000000","True","heading"
"At the most fundamental level, a PDF file is a sequence of bytes. These bytes can be grouped into tokens","20","13.257","False","#000000","False","paragraph"
"according to the syntax rules described in this sub-clause. One or more tokens are assembled to form higher-","18","13.257","False","#000000","False","paragraph"
"© Adobe Systems Incorporated 2008 – All rights reserved","9","13.066","False","#000000","False","paragraph"
"11","1","11.514","False","#000000","True","paragraph"
"PDF 32000-1:2008","2","13.066","True","#000000","True","paragraph"
"level syntactic entities, principally objects, which are the basic data values from which a PDF document is","17","13.257","False","#000000","False","paragraph"
"constructed.","1","13.257","False","#000000","False","paragraph"
"A non-encrypted PDF can be entirely represented using byte values corresponding to the visible printable","15","13.257","False","#000000","False","paragraph"
"subset of the character set defined in ANSI X3.4-1986, plus white space characters. However, a PDF file is not","19","13.257","False","#000000","False","paragraph"
"restricted to the ASCII character set; it may contain arbitrary bytes, subject to the following considerations:","16","13.257","False","#000000","False","paragraph"
"The tokens that delimit objects and that describe the structure of a PDF file shall use the ASCII character","19","13.257","False","#000000","False","paragraph"
"set. In addition all the reserved words and the names used as keys in PDF standard dictionaries and","18","13.257","False","#000000","False","paragraph"
"certain types of arrays shall be defined using the ASCII character set.","12","13.257","False","#000000","False","paragraph"
"The data values of strings and streams objects may be written either entirely using the ASCII character set","18","13.257","False","#000000","False","paragraph"
