"line","word_count","font_size","is_bold","color","title_case","label"
"A Short Paper Proposing That We Need to Write Shorter Papers","11","15.996","True","#000000","True","heading"
"Stephen Krashen Language and Language Teaching 1,2: 38-39. 2012","9","15.756","False","#000000","True","paragraph"
"W hen we ask the time, we don't want to know how watches are constructed. Georg Christoph","17","14.18","False","#000000","False","paragraph"
"Lichtenberg (1742-1799)","2","14.18","False","#000000","True","paragraph"
"O ur current journals in language education are full of long papers. A typical journal","15","15.756","False","#000000","False","paragraph"
"might have, at most, five major papers. Sometimes we have to write long papers, but","15","15.756","False","#000000","False","paragraph"
"much of the time, it's unnecessary: the papers often contain long introductions more","13","15.756","False","#000000","False","paragraph"
"suitable for doctoral dissertations or review (""state of the art"") papers, apparently","12","15.756","False","#000000","False","paragraph"
"designed to provide evidence that the author is well-read, and long conclusions, with a","14","15.756","False","#000000","False","paragraph"
"repetition of the findings and the author's detailed and lengthy speculations about what","13","15.756","False","#000000","False","paragraph"
"the results might mean for theory and application.","8","15.756","False","#000000","False","paragraph"
"R eaders of professional journals don’t need this. Introductions should only give enough","13","15.756","False","#000000","False","paragraph"
"to alert the reader to what the article is above, and provide a few citations in case the","18","15.756","False","#000000","False","paragraph"
"reader needs more information. If the articles cited in the introduction are readily","13","15.756","False","#000000","False","paragraph"
"available, readers are free to consult them, and a brief indication of implications is","14","15.756","False","#000000","False","paragraph"
"generally more than enough for experienced readers. Also, if the results section is clear,","14","15.756","False","#000000","False","paragraph"
"no repetition of the findings is necessary in the conclusion.","10","15.756","False","#000000","False","paragraph"
"W atson and Crick's Nobel Prize winning paper on the double helix was only one page.","16","15.756","False","#000000","False","paragraph"
"Their conclusion: ""It has not escaped our notice that the specific pairing we have","14","15.756","False","#000000","False","paragraph"
"postulated immediately suggests a possible copying mechanism for the genetic material""","11","15.756","False","#000000","False","paragraph"
"(p. 737).","2","15.756","False","#000000","True","paragraph"
"Long papers drain intellectual energy from both readers and writers and waste their time.","15","15.996","True","#000000","False","heading"
"T hey take longer to write, and much of the energy in writing them is dedicated to sections","18","15.756","False","#000000","False","paragraph"
"that don't engage the writer: Writing is a powerful tool to solve problems, and can result","16","15.756","False","#000000","False","paragraph"
"in substantial cognitive development (it can make you smarter), but to do this, the writing","15","15.756","False","#000000","False","paragraph"
"must be directed at a difficult problem (Langer and Applebee, 1987).","11","15.756","False","#000000","False","paragraph"
"L ong papers take longer to read. Even readers who try to skim long papers have to","17","15.756","False","#000000","False","paragraph"
"devote time and energy to find the essential parts, and run the danger of missing the","16","15.756","False","#000000","False","paragraph"
"details.","1","15.756","False","#000000","False","paragraph"
"A Disservice to the Profession and to the Scholar","9","15.996","True","#000000","True","heading"
"T oo-long papers hurt the spread of knowledge in two ways: They waste our time in both","17","15.756","False","#000000","False","paragraph"
"reading and writing, and they promote sloppy reading. Many readers are content just to","14","15.756","False","#000000","False","paragraph"
"read the abstract and perhaps the summary of technical papers, with a glance at a table.","16","15.756","False","#000000","False","paragraph"
"This means, of course, that significant details on methodology and the analysis, buried in","14","15.756","False","#000000","False","paragraph"
"the paper, are missed, and crucial points and often errors are perpetuated.","12","15.756","False","#000000","False","paragraph"
"Too-long papers also take up space. A journal with five too-long papers could easily","14","15.756","False","#000000","False","paragraph"
"include 20 short papers. This space limitation hurts the dissemination of knowledge,","12","15.756","False","#000000","False","paragraph"
"because less genuine information is available, and makes it much harder for junior","13","15.756","False","#000000","False","paragraph"
"scholars to publish and to get tenure and promotion, especially when universities require","13","15.756","False","#000000","False","paragraph"
"publication in certain journals. This problem will be alleviated as more journals are done","14","15.756","False","#000000","False","paragraph"
"on the internet, of course.","5","15.756","False","#000000","False","paragraph"
"Conclusion","2","15.996","True","#000000","False","heading"
"A gain, sometimes papers have to be long. But often they don't, and the problem is usually","17","15.756","False","#000000","False","paragraph"
"long introductions and conclusions that go far beyond the needs of the paper.","13","15.756","False","#000000","False","paragraph"
"L anguage education has clearly taken its tradition from the humanities, which favors","13","15.756","False","#000000","False","paragraph"
"dissertation-style prose, rather than the sciences, where papers are usually much shorter.","12","15.756","False","#000000","False","paragraph"
"I t is probably no coincidence that citation rates in the sciences are much higher: Hamilton","16","15.756","False","#000000","False","paragraph"
"(1991) reported that about 91% of papers published in atomic, molecular and chemical","13","15.756","False","#000000","False","paragraph"
"physics, and 86% in virology had been cited at least once. In language and linguistics,","15","15.756","False","#000000","False","paragraph"
"only 20% had been cited and in American literature, less than 1%.","12","15.756","False","#000000","False","paragraph"
"References","2","15.996","True","#000000","False","heading"
"W atson, J. and Crick, F. 1953. A Structure for Deoxyribose Nucleic Acid, Nature 171,","15","15.756","False","#000000","False","paragraph"
"737-738.","1","15.756","False","#000000","True","paragraph"
"Hamilton, D. 1991. Research papers: Who's united now? Science 251: 25.","11","15.756","False","#000000","False","paragraph"
"Langer, J. and Applebee, A. 1987. How Writing Shapes Thinking. Urbana, IL: National","13","15.756","False","#000000","True","paragraph"
"Council of Teachers of English.","5","15.756","False","#000000","True","paragraph"
