"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Proceedings of the Twenty-Ninth International","False","False","True","True","paragraph"
"Florida Artificial Intelligence Research Society Conference","False","False","True","True","paragraph"
"TAO: System for Table Detection and Extraction from PDF Documents","True","False","True","True","heading"
"Martha O. Perez-Arriaga, Trilce Estrada, and Soraya Abad-Mota","True","False","True","True","heading"
"Departments of Computer Science, and Electrical and Computer Engineering","False","False","True","True","paragraph"
"University of New Mexico","False","False","True","True","paragraph"
"{marperez, estrada, soraya}@cs.unm.edu","False","False","True","False","paragraph"
"Abstract","False","False","True","True","heading"
"Digital documents present knowledge in most areas of","False","False","True","False","paragraph"
"study, exchanging and communicating information in a","False","False","True","False","paragraph"
"portable way. To better use the knowledge embedded","False","False","True","False","paragraph"
"in an ever-growing information source, effective tools","False","False","True","False","paragraph"
"for automatic information extraction are needed. Tables","False","False","True","False","paragraph"
"are crucial information elements in documents of sci-","False","False","True","False","paragraph"
"entiﬁc nature. Most publications use tables to represent","False","False","True","False","paragraph"
"and report concrete ﬁndings of research. Current meth-","False","False","True","False","paragraph"
"ods used to extract table data from PDF documents lack","False","False","True","False","paragraph"
"precision in detecting, extracting, and representing data","False","False","True","False","paragraph"
"from diverse layouts.","False","False","True","False","paragraph"
"We present the system TAble Organization (TAO) to","False","False","False","False","paragraph"
"automatically detect, extract and organize information","False","False","True","False","paragraph"
"from tables in PDF documents. TAO uses a process-","False","False","True","False","paragraph"
"ing, based on the k-nearest neighbor method and lay-","False","False","True","False","paragraph"
"out heuristics, to detect tables within a document and to","False","False","True","False","paragraph"
"extract table information. This system generates an en-","False","False","True","False","paragraph"
"riched representation of the data extracted from tables","False","False","True","False","paragraph"
"in the PDF documents. TAO’s performance is compara-","False","False","True","False","paragraph"
"ble to other table extraction methods, but it overcomes","False","False","True","False","paragraph"
"some related work limitations and proves to be more ro-","False","False","True","False","paragraph"
"bust in experiments with diverse document layouts.","False","False","True","False","paragraph"
"1 Introduction","True","False","True","True","heading"
"Scientiﬁc digital documents allow us to present and share in-","False","False","True","False","paragraph"
"formation in different areas of knowledge. The ever-growing","False","False","True","False","paragraph"
"number of documents available on the Internet makes it difﬁ-","False","False","True","False","paragraph"
"cult to analyze them at the same pace they are produced. The","False","False","True","False","paragraph"
"myriad topics and ways in which digital documents present","False","False","True","False","paragraph"
"the information hinder the extraction and management of","False","False","True","False","paragraph"
"their contents.","False","False","True","False","paragraph"
"Scientiﬁc publications use tables to represent results and","False","False","True","False","paragraph"
"associations. Tables are simple representations of informa-","False","False","True","False","paragraph"
"tion that show relationships between concepts. People iden-","False","False","True","False","paragraph"
"tify tables within documents easily, but given the number of","False","False","True","False","paragraph"
"documents to analyze, the identiﬁcation is time consuming.","False","False","True","False","paragraph"
"Performing this task automatically is difﬁcult due to the vari-","False","False","True","False","paragraph"
"ety of document formats (e.g., PDF, HTML), tables’ layouts","False","False","True","False","paragraph"
"and types of information.","False","False","True","False","paragraph"
"The main challenge in detecting tables in digital docu-","False","False","True","False","paragraph"
"ments is that tables are mixed with other elements, such","False","False","True","False","paragraph"
"Copyright c? 2016, Association for the Advancement of Artiﬁcial","False","False","True","True","paragraph"
"Intelligence (www.aaai.org). All rights reserved.","False","False","True","False","paragraph"
"as ﬁgures and text. Also, the PDF documents present more","False","False","True","False","paragraph"
"challenges to detect tables due to the lack of table tags. Our","False","False","True","False","paragraph"
"approach focuses on PDF documents.","False","False","True","False","paragraph"
"Current methods (Liu et al. 2007; Oro and Ruffolo 2009)","False","False","True","False","paragraph"
"for automatic table detection and extraction in PDF docu-","False","False","True","False","paragraph"
"ments are useful, but still have some restrictions. These re-","False","False","True","False","paragraph"
"strictions include detection of tables only in documents with","False","False","True","False","paragraph"
"single column, detection relying on patterns not present in","False","False","True","False","paragraph"
"all tables, and extraction lacking elements needed to accu-","False","False","True","False","paragraph"
"rately reconstruct the information provided in a table. To","False","False","True","False","paragraph"
"overcome these limitations, we propose the TAble Organi-","False","False","False","False","paragraph"
"zation (TAO) system that not only provides automatic table","False","False","False","False","paragraph"
"detection and extraction in digital documents, but also gener-","False","False","True","False","paragraph"
"ates a detailed representation of table elements for structural","False","False","True","False","paragraph"
"and functional analyses.","False","False","True","False","paragraph"
"TAO is efﬁcient, comprehensive and robust. It is efﬁcient","False","False","True","False","paragraph"
"because it takes advantage of the structure formed by tables,","False","False","True","False","paragraph"
"avoiding an exhaustive search of table elements where there","False","False","True","False","paragraph"
"is no such structure. It is comprehensive because it discovers","False","False","True","False","paragraph"
"metadata (e.g., header, font, data type, coordinates) and data","False","False","True","False","paragraph"
"from tables embedded in a document. Finally, TAO is robust","False","False","True","False","paragraph"
"because it does not depend on ﬁxed patterns or layouts to","False","False","True","False","paragraph"
"detect tables, and it is able to detect them on different lay-","False","False","True","False","paragraph"
"out documents (see Section 2). Even though scientiﬁc pub-","False","False","True","False","paragraph"
"lications are an important target for TAO, its methods serve","False","False","True","False","paragraph"
"the purpose of extracting information from any PDF doc-","False","False","True","False","paragraph"
"ument containing tables. TAO is compared to related work","False","False","True","False","paragraph"
"(see Sections 3,4). TAO’s output portable format facilitates","False","False","True","False","paragraph"
"information organization and sharing, and further analysis","False","False","True","False","paragraph"
"(see Section 5).","False","False","True","True","paragraph"
"Our main contributions are: 1) an adaptive method to de-","False","False","True","False","paragraph"
"tect and extract tables’ information, 2) an annotated repre-","False","False","True","False","paragraph"
"sentation of the information extracted from tables for further","False","False","True","False","paragraph"
"structural, functional, and semantic analyses, and 3) a web-","False","False","True","False","paragraph"
"based prototype of the system at http://integra.cs.unm.edu.","False","False","True","False","paragraph"
"2 Table Detection and Extraction","True","False","True","True","heading"
"The TAble Organization (TAO) system is capable of detect-","False","False","True","False","paragraph"
"ing and recognizing tables within PDF documents. Table","False","False","False","False","paragraph"
"detection is the process of identifying tables from a docu-","False","False","False","False","paragraph"
"ment, and table recognition of identifying and extracting the","False","False","False","False","paragraph"
"cells contained in a table (Hu et al. 1999). To acomplish this","False","False","True","False","paragraph"
"processing, TAO combines a supervised machine learning","False","False","True","False","paragraph"
"method with layout heuristics, and consists of three main","False","False","True","False","paragraph"
"591","False","False","True","True","paragraph"
"modules: 1) document conversion, 2) table detection, and 3)","False","False","True","False","paragraph"
"table extraction, (see Figure 1).","False","False","True","False","paragraph"
