"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"PDF 32000-1:2008","1","1","0","1","1","2","0","0","2","0","paragraph"
"7 Syntax","1","1","0","1","2","2","0","0","1","0","heading"
"7.1 General","1","1","0","1","2","2","0","0","1","1","heading"
"This clause covers everything about the syntax of PDF at the object, file, and document level. It sets the stage","0","0","0","1","3","20","0","2","9","0","paragraph"
"for subsequent clauses, which describe how the contents of a PDF file are interpreted as page descriptions,","0","0","0","1","3","17","0","2","4","0","paragraph"
"interactive navigational aids, and application-level logical structure.","0","0","0","1","0","7","0","0","2","0","paragraph"
"PDF syntax is best understood by considering it as four parts, as shown in Figure 1:","0","0","0","1","3","16","0","3","4","2","paragraph"
"Objects. A PDF document is a data structure composed from a small set of basic types of data objects.","0","0","0","0","3","19","0","1","6","0","paragraph"
"Sub-clause 7.2, ""Lexical Conventions,"" describes the character set used to write objects and other","0","0","0","1","3","14","0","3","3","0","paragraph"
"syntactic elements. Sub-clause 7.3, ""Objects,"" describes the syntax and essential properties of the objects.","0","0","0","1","3","14","0","1","4","0","paragraph"
"Sub-clause 7.3.8, ""Stream Objects,"" provides complete details of the most complex data type, the stream","0","0","0","1","3","15","0","1","5","0","paragraph"
"object.","0","0","0","1","0","1","0","0","1","0","paragraph"
"File structure. The PDF file structure determines how objects are stored in a PDF file, how they are","0","0","0","0","3","18","0","2","5","0","paragraph"
"accessed, and how they are updated. This structure is independent of the semantics of the objects. Sub-","0","0","0","1","3","17","0","2","4","0","paragraph"
"clause 7.5, ""File Structure,"" describes the file structure. Sub-clause 7.6, ""Encryption,"" describes a file-level","0","0","0","1","3","14","0","2","5","0","paragraph"
"mechanism for protecting a document’s contents from unauthorized access.","0","0","0","1","0","9","0","1","4","0","paragraph"
"Document structure. The PDF document structure specifies how the basic object types are used to","0","0","0","0","3","15","0","2","3","0","paragraph"
"represent components","0","0","0","1","0","2","0","1","1","0","paragraph"
"""Document Structure,""","0","0","0","1","3","2","0","0","1","0","paragraph"
"of a PDF document: pages, fonts, annotations, and so forth. Sub-clause 7.7,","0","0","0","1","3","12","0","0","5","0","paragraph"
"describes the overall document structure; later clauses address the detailed","0","0","0","1","0","10","0","3","1","0","paragraph"
"semantics of the components.","0","0","0","1","0","4","0","0","2","0","paragraph"
"Content streams. A PDF content stream contains a sequence of instructions describing the appearance of","0","0","0","0","3","15","0","3","4","0","paragraph"
"a page or other graphical entity. These instructions, while also represented as objects, are conceptually","0","0","0","1","3","15","0","1","4","0","paragraph"
"distinct from the objects that represent the document structure and are described separately. Sub-clause","0","0","0","1","3","14","0","2","3","0","paragraph"
"7.8, ""Content Streams and Resources,"" discusses PDF content streams and their associated resources.","0","0","0","1","3","13","0","2","4","1","paragraph"
"Figure 1 – PDF Components","1","0","0","1","2","5","0","0","2","1","heading"
"In addition, this clause describes some data structures, built from basic objects, that are so widely used that","0","0","0","1","3","18","0","3","4","0","paragraph"
"they can almost be considered basic object types in their own right. These","0","0","0","1","3","13","0","2","2","0","paragraph"
"""Common Data Structures""; 7.10, ""Functions""; and 7.11, ""File Specifications.""","0","0","0","1","3","9","0","0","3","2","paragraph"
"objects are covered in: 7.9,","0","0","0","1","0","5","0","1","1","1","paragraph"
"NOTE Variants of PDF’s object and file syntax are also used as the basis for other file formats. These include the","0","0","0","1","3","21","0","2","6","0","paragraph"
"Forms Data Format (FDF), described in 12.7.7, ""Forms Data Format"", and the Portable Job Ticket Format","0","0","0","1","3","16","0","1","3","0","paragraph"
"(PJTF), described in Adobe Technical Note #5620, Portable Job Ticket Format.","0","0","0","0","3","11","0","1","2","0","paragraph"
"7.2 Lexical Conventions","1","1","0","1","2","3","0","0","1","0","heading"
"7.2.1 General","1","0","0","1","2","2","0","0","1","1","heading"
"At the most fundamental level, a PDF file is a sequence of bytes. These bytes can be grouped into tokens","0","0","0","0","3","20","0","2","6","0","paragraph"
"according to the syntax rules described in this sub-clause. One or more tokens are assembled to form higher-","0","0","0","1","3","18","0","4","3","1","paragraph"
"© Adobe Systems Incorporated 2008 – All rights reserved","0","1","0","0","3","9","0","2","1","0","paragraph"
"11","0","0","0","1","2","1","1","0","0","1","paragraph"
"PDF 32000-1:2008","1","1","0","1","1","2","0","0","2","0","paragraph"
"level syntactic entities, principally objects, which are the basic data values from which a PDF document is","0","0","0","0","3","17","0","0","4","0","paragraph"
"constructed.","0","0","0","1","0","1","0","1","0","0","paragraph"
"A non-encrypted PDF can be entirely represented using byte values corresponding to the visible printable","0","0","0","1","3","15","0","4","3","0","paragraph"
"subset of the character set defined in ANSI X3.4-1986, plus white space characters. However, a PDF file is not","0","0","0","1","3","19","0","1","5","0","paragraph"
"restricted to the ASCII character set; it may contain arbitrary bytes, subject to the following considerations:","0","0","0","1","3","16","0","4","4","0","paragraph"
"The tokens that delimit objects and that describe the structure of a PDF file shall use the ASCII character","0","0","0","1","3","19","0","3","4","0","paragraph"
"set. In addition all the reserved words and the names used as keys in PDF standard dictionaries and","0","0","0","1","3","18","0","3","3","0","paragraph"
"certain types of arrays shall be defined using the ASCII character set.","0","0","0","1","3","12","0","3","3","0","paragraph"
"The data values of strings and streams objects may be written either entirely using the ASCII character set","0","0","0","1","3","18","0","3","5","0","paragraph"
"or entirely in binary data. In actual practice, data that is naturally binary, such as sampled images, is","0","0","0","1","3","18","0","1","4","0","paragraph"
